ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 21:04:58 208m





Sample number Relative time HS4D-50(28994).Ch1
  s V
608 1.216E-5 0.084934279
609 1.218E-5 0.0768453
610 1.22E-5 0.0768453
611 1.222E-5 0.080889789
612 1.224E-5 0.084934279
613 1.226E-5 0.093023258
614 1.228E-5 0.10515673
615 1.23E-5 0.10920122
616 1.232E-5 0.093023258
617 1.234E-5 0.088978768
618 1.236E-5 0.10920122
619 1.238E-5 0.13346815
620 1.24E-5 0.12537917
621 1.242E-5 0.11324571
622 1.244E-5 0.10111224
623 1.246E-5 0.0768453
624 1.248E-5 0.052578363
625 1.25E-5 0.052578363
626 1.252E-5 0.080889789
627 1.254E-5 0.093023258
628 1.256E-5 0.093023258
629 1.258E-5 0.093023258
630 1.26E-5 0.0768453
631 1.262E-5 0.0768453
632 1.264E-5 0.097067747
633 1.266E-5 0.10111224
634 1.268E-5 0.097067747
635 1.27E-5 0.080889789
636 1.272E-5 0.080889789
637 1.274E-5 0.0768453
638 1.276E-5 0.07280081
639 1.278E-5 0.0768453
640 1.28E-5 0.0768453
641 1.282E-5 0.0768453
642 1.284E-5 0.084934279
643 1.286E-5 0.10111224
644 1.288E-5 0.11324571
645 1.29E-5 0.10111224
646 1.292E-5 0.084934279
647 1.294E-5 0.097067747
648 1.296E-5 0.10920122
649 1.298E-5 0.11324571
650 1.3E-5 0.12133468
651 1.302E-5 0.11324571
652 1.304E-5 0.10920122
653 1.306E-5 0.10111224
654 1.308E-5 0.093023258
655 1.31E-5 0.097067747
656 1.312E-5 0.093023258
657 1.314E-5 0.10111224
658 1.316E-5 0.12537917
659 1.318E-5 0.13346815
660 1.32E-5 0.14560162
661 1.322E-5 0.14155713
662 1.324E-5 0.12942366
663 1.326E-5 0.11729019
664 1.328E-5 0.11324571
665 1.33E-5 0.11729019
666 1.332E-5 0.097067747
667 1.334E-5 0.088978768
668 1.336E-5 0.10111224
669 1.338E-5 0.10920122
670 1.34E-5 0.10920122
671 1.342E-5 0.11324571
672 1.344E-5 0.10515673
673 1.346E-5 0.11324571
674 1.348E-5 0.10920122
675 1.35E-5 0.11324571
676 1.352E-5 0.1536906
677 1.354E-5 0.13346815
678 1.356E-5 0.064711832
679 1.358E-5 0.07280081
680 1.36E-5 0.13751264
681 1.362E-5 0.12133468
682 1.364E-5 0.10111224
683 1.366E-5 0.056622853
684 1.368E-5 0.10515673
685 1.37E-5 0.12942366
686 1.372E-5 0.080889789
687 1.374E-5 0.080889789
688 1.376E-5 0.10515673
689 1.378E-5 0.11729019
690 1.38E-5 0.093023258
691 1.382E-5 0.0768453
692 1.384E-5 0.10515673
693 1.386E-5 0.10111224
694 1.388E-5 0.080889789
695 1.39E-5 0.060667342
696 1.392E-5 0.080889789
697 1.394E-5 0.10515673
698 1.396E-5 0.056622853
699 1.398E-5 0.040444895
700 1.4E-5 0.097067747
701 1.402E-5 0.093023258
702 1.404E-5 0.040444895
703 1.406E-5 0.0768453
704 1.408E-5 0.12133468
705 1.41E-5 0.10920122
706 1.412E-5 0.064711832
707 1.414E-5 0.10111224
708 1.416E-5 0.12942366
709 1.418E-5 0.084934279
710 1.42E-5 0.068756321
711 1.422E-5 0.11324571
712 1.424E-5 0.10920122
713 1.426E-5 0.080889789
714 1.428E-5 0.093023258
715 1.43E-5 0.13346815
716 1.432E-5 0.13346815
717 1.434E-5 0.10515673
718 1.436E-5 0.11324571
719 1.438E-5 0.13751264
720 1.44E-5 0.11729019
721 1.442E-5 0.10920122
722 1.444E-5 0.12537917
723 1.446E-5 0.12942366
724 1.448E-5 0.11729019
725 1.45E-5 0.11729019
726 1.452E-5 0.13751264
727 1.454E-5 0.13751264
728 1.456E-5 0.11324571
729 1.458E-5 0.12537917
730 1.46E-5 0.13346815
731 1.462E-5 0.13346815
732 1.464E-5 0.12133468
733 1.466E-5 0.11729019
734 1.468E-5 0.12537917
735 1.47E-5 0.11729019
736 1.472E-5 0.12942366
737 1.474E-5 0.14560162
738 1.476E-5 0.13751264
739 1.478E-5 0.14560162
740 1.48E-5 0.16177958
741 1.482E-5 0.16177958
742 1.484E-5 0.14560162
