ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 20:56:29 582m





Sample number Relative time HS4D-50(28994).Ch1
  s V
594 0.00013688 0.016177958
595 0.0001369 0.016177958
596 0.00013692 0.020222447
597 0.00013694 0.024266937
598 0.00013696 0.020222447
599 0.00013698 0.0040444895
600 0.000137 -0.0040444895
601 0.00013702 0.0040444895
602 0.00013704 0.0040444895
603 0.00013706 0.0080889789
604 0.00013708 0.016177958
605 0.0001371 0.016177958
606 0.00013712 0
607 0.00013714 0.0040444895
608 0.00013716 0.0080889789
609 0.00013718 0.012133468
610 0.0001372 0.0080889789
611 0.00013722 0.0080889789
612 0.00013724 0.0080889789
613 0.00013726 0.0080889789
614 0.00013728 0.0040444895
615 0.0001373 0.012133468
616 0.00013732 0.016177958
617 0.00013734 0.024266937
618 0.00013736 0.024266937
619 0.00013738 0.016177958
620 0.0001374 0.012133468
621 0.00013742 0.0040444895
622 0.00013744 0.0040444895
623 0.00013746 0.0080889789
624 0.00013748 0.012133468
625 0.0001375 0.020222447
626 0.00013752 0.016177958
627 0.00013754 0.012133468
628 0.00013756 0.012133468
629 0.00013758 0.016177958
630 0.0001376 0.0080889789
631 0.00013762 0.0040444895
632 0.00013764 0.012133468
633 0.00013766 0.0080889789
634 0.00013768 0
635 0.0001377 0
636 0.00013772 0.0040444895
637 0.00013774 0.0040444895
638 0.00013776 0.016177958
639 0.00013778 0.016177958
640 0.0001378 0.016177958
641 0.00013782 0.012133468
642 0.00013784 0.016177958
643 0.00013786 0.016177958
644 0.00013788 0.012133468
645 0.0001379 0.020222447
646 0.00013792 0.020222447
647 0.00013794 0.020222447
648 0.00013796 0.024266937
649 0.00013798 0.028311426
650 0.000138 0.016177958
651 0.00013802 0.024266937
652 0.00013804 0.020222447
653 0.00013806 0.020222447
654 0.00013808 0.020222447
655 0.0001381 0.020222447
656 0.00013812 0.020222447
657 0.00013814 0.020222447
658 0.00013816 0.012133468
659 0.00013818 0.016177958
660 0.0001382 0.024266937
661 0.00013822 0.028311426
662 0.00013824 0.024266937
663 0.00013826 0.016177958
664 0.00013828 0.016177958
665 0.0001383 0.016177958
666 0.00013832 0.012133468
667 0.00013834 0.016177958
668 0.00013836 0.032355916
669 0.00013838 0.024266937
670 0.0001384 0.020222447
671 0.00013842 0.016177958
672 0.00013844 0.012133468
673 0.00013846 0.0080889789
674 0.00013848 0.0040444895
675 0.0001385 0.012133468
676 0.00013852 0.020222447
677 0.00013854 0.020222447
678 0.00013856 0.024266937
679 0.00013858 0.016177958
680 0.0001386 0.012133468
681 0.00013862 0.020222447
682 0.00013864 0.024266937
683 0.00013866 0.040444895
684 0.00013868 0.036400405
685 0.0001387 0.032355916
686 0.00013872 0.032355916
687 0.00013874 0.028311426
688 0.00013876 0.028311426
689 0.00013878 0.024266937
690 0.0001388 0.020222447
691 0.00013882 0.024266937
692 0.00013884 0.032355916
693 0.00013886 0.032355916
694 0.00013888 0.036400405
695 0.0001389 0.032355916
696 0.00013892 0.028311426
697 0.00013894 0.024266937
698 0.00013896 0.032355916
699 0.00013898 0.028311426
700 0.000139 0.032355916
701 0.00013902 0.028311426
702 0.00013904 0.028311426
703 0.00013906 0.020222447
704 0.00013908 0.024266937
705 0.0001391 0.024266937
706 0.00013912 0.028311426
707 0.00013914 0.036400405
708 0.00013916 0.040444895
709 0.00013918 0.032355916
710 0.0001392 0.032355916
711 0.00013922 0.032355916
712 0.00013924 0.032355916
713 0.00013926 0.024266937
714 0.00013928 0.020222447
715 0.0001393 0.024266937
716 0.00013932 0.036400405
717 0.00013934 0.036400405
718 0.00013936 0.036400405
719 0.00013938 0.036400405
720 0.0001394 0.028311426
721 0.00013942 0.032355916
722 0.00013944 0.036400405
723 0.00013946 0.036400405
724 0.00013948 0.028311426
725 0.0001395 0.024266937
726 0.00013952 0.024266937
727 0.00013954 0.016177958
728 0.00013956 0.020222447
729 0.00013958 0.016177958
730 0.0001396 0.028311426
731 0.00013962 0.024266937
732 0.00013964 0.024266937
733 0.00013966 0.024266937
734 0.00013968 0.020222447
735 0.0001397 0.016177958
736 0.00013972 0.024266937
737 0.00013974 0.032355916
738 0.00013976 0.036400405
739 0.00013978 0.036400405
740 0.0001398 0.032355916
741 0.00013982 0.036400405
742 0.00013984 0.032355916
743 0.00013986 0.036400405
744 0.00013988 0.028311426
745 0.0001399 0.024266937
746 0.00013992 0.020222447
747 0.00013994 0.028311426
748 0.00013996 0.028311426
749 0.00013998 0.020222447
750 0.00014 0.032355916
751 0.00014002 0.040444895
752 0.00014004 0.036400405
753 0.00014006 0.028311426
754 0.00014008 0.020222447
755 0.0001401 0.020222447
756 0.00014012 0.020222447
757 0.00014014 0.028311426
758 0.00014016 0.024266937
759 0.00014018 0.024266937
760 0.0001402 0.032355916
761 0.00014022 0.036400405
762 0.00014024 0.032355916
763 0.00014026 0.036400405
764 0.00014028 0.036400405
765 0.0001403 0.032355916
766 0.00014032 0.028311426
767 0.00014034 0.036400405
768 0.00014036 0.036400405
769 0.00014038 0.040444895
770 0.0001404 0.040444895
771 0.00014042 0.040444895
772 0.00014044 0.032355916
773 0.00014046 0.032355916
774 0.00014048 0.028311426
775 0.0001405 0.036400405
776 0.00014052 0.036400405
777 0.00014054 0.032355916
778 0.00014056 0.040444895
779 0.00014058 0.036400405
780 0.0001406 0.036400405
781 0.00014062 0.040444895
782 0.00014064 0.040444895
783 0.00014066 0.028311426
784 0.00014068 0.020222447
785 0.0001407 0.024266937
786 0.00014072 0.028311426
787 0.00014074 0.036400405
788 0.00014076 0.040444895
789 0.00014078 0.040444895
790 0.0001408 0.036400405
791 0.00014082 0.028311426
792 0.00014084 0.036400405
793 0.00014086 0.040444895
794 0.00014088 0.040444895
795 0.0001409 0.032355916
796 0.00014092 0.032355916
797 0.00014094 0.028311426
798 0.00014096 0.036400405
799 0.00014098 0.040444895
800 0.000141 0.044489384
801 0.00014102 0.040444895
802 0.00014104 0.036400405
803 0.00014106 0.036400405
804 0.00014108 0.032355916
805 0.0001411 0.020222447
806 0.00014112 0.024266937
807 0.00014114 0.024266937
808 0.00014116 0.020222447
809 0.00014118 0.024266937
810 0.0001412 0.024266937
811 0.00014122 0.024266937
812 0.00014124 0.016177958
813 0.00014126 0.016177958
814 0.00014128 0.020222447
815 0.0001413 0.028311426
816 0.00014132 0.028311426
817 0.00014134 0.032355916
818 0.00014136 0.036400405
819 0.00014138 0.032355916
820 0.0001414 0.032355916
821 0.00014142 0.032355916
822 0.00014144 0.036400405
823 0.00014146 0.028311426
824 0.00014148 0.024266937
825 0.0001415 0.028311426
826 0.00014152 0.028311426
827 0.00014154 0.016177958
828 0.00014156 0.020222447
